"","years","runtime_minute","rate_score","gross_million","votes","certificates"
"626",2010,100,5.4,47.06,84095,"PG-13"
"627",2007,124,7.2,47,298572,"R"
"628",2015,121,7.6,46.89,344768,"R"
"629",2018,140,6.6,46.87,149819,"R"
"630",1977,125,7.1,46.8,92353,"PG"
"631",1982,136,5.9,46.71,23968,"PG"
"632",1991,108,6.5,46.7,50146,"PG"
"633",1988,120,6.7,46.62,23068,"R"
"634",2005,129,5.9,46.46,88769,"PG"
"635",2018,88,5.4,46.38,11661,"PG-13"
"636",1963,205,7.5,46.3,35827,"G"
"637",1989,125,6.7,46.21,47002,"R"
"638",1976,96,6.8,46.2,39191,"R"
"639",1990,93,6,46.04,18621,"R"
"640",2013,113,6.7,46,199898,"R"
"641",2004,86,6.3,45.86,67827,"PG-13"
"642",2017,90,4.5,45.83,31383,"R"
"643",2009,92,6.6,45.8,145557,"R"
"644",1990,117,5.8,45.68,77933,"R"
"645",1988,107,6.9,45.66,51806,"R"
"646",2016,103,5.9,45.54,117726,"PG-13"
"647",2018,130,6.5,45.5,57263,"R"
"648",2015,116,7.3,45.45,250691,"PG-13"
"649",1967,150,7.8,45.3,63606,"Not Rated"
"650",2012,105,6.4,45.29,83091,"PG"
"651",1978,110,6.4,45,14181,"PG"
"652",2018,140,7,44.95,78472,"R"
"653",2017,107,5.2,44.9,81099,"PG-13"
"654",2010,107,5.6,44.88,83038,"R"
"655",1994,99,5.9,44.85,53127,"R"
"656",2012,93,5.4,44.81,71110,"PG-13"
"657",1998,140,7.3,44.48,125119,"R"
"658",1997,98,6.7,44.46,42280,"R"
"659",1990,104,6.5,44.14,29401,"PG-13"
"660",1992,84,5.9,44.07,43123,"R"
"661",2008,135,6,43.95,66495,"PG"
"662",2001,87,5.9,43.91,86638,"PG-13"
"663",1971,120,6.6,43.82,89591,"PG"
"664",1999,99,6.1,43.76,19627,"G"
"665",2007,84,4.7,43.75,18802,"PG"
"666",2003,121,6.6,43.73,109157,"R"
"667",2010,82,4.3,43.59,13129,"PG"
"668",2014,132,6.5,43.58,158034,"PG-13"
"669",2015,121,7.1,43.48,186988,"PG-13"
"670",2002,116,6.4,43.25,70375,"PG-13"
"671",1989,101,6,43.25,30187,"PG-13"
"672",1991,122,7.3,43.22,146198,"R"
"673",2005,87,6.3,43.1,184494,"PG-13"
"674",1967,117,6.9,43.08,91343,"PG"
"675",2002,101,6.2,43.06,121983,"PG-13"
"676",2014,101,7.4,43.04,494443,"R"
"677",2013,112,6.4,42.93,80090,"PG-13"
"678",1997,111,6.2,42.87,55631,"R"
"679",2008,92,7,42.75,210584,"R"
"680",1993,96,4.8,42.66,29506,"PG"
"681",1994,104,5.6,42.61,72723,"R"
"682",2012,95,5.4,42.35,128002,"R"
"683",1983,109,6.4,42.31,15916,"R"
"684",1968,114,7.4,42.3,57078,"M/PG"
"685",2013,119,6.4,42.03,148519,"R"
"686",2007,94,4.7,41.8,112003,"R"
"687",1998,122,7.3,41.62,165289,"R"
"688",1997,124,5.9,41.26,52198,"R"
"689",2017,137,6.5,41.19,150611,"PG-13"
"690",1981,118,6.9,41.09,38706,"PG"
"691",1997,97,6.2,41.07,26651,"R"
"692",2012,109,7.6,41,218004,"R"
"693",1998,116,6.4,40.98,66078,"R"
"694",2002,134,6.1,40.91,63492,"R"
"695",2008,100,5.4,40.69,119307,"PG-13"
"696",1989,96,6.2,40.59,10182,"PG-13"
"697",2017,107,6.3,40.56,185644,"PG-13"
"698",2011,111,6.8,40.26,183014,"PG-13"
"699",1992,89,5.5,40.23,6638,"R"
"700",2004,104,3.3,40.2,105809,"PG-13"
"701",2010,100,5.2,40.17,95363,"R"
"702",2002,100,6.7,40.12,237412,"R"
"703",2016,124,7.1,40.1,131994,"R"
"704",2002,108,5.5,40.08,69882,"R"
"706",1974,105,6.5,40,7894,"PG"
"707",2007,100,6.3,39.69,156396,"R"
"708",1991,91,6.1,39.67,20398,"R"
"709",2007,113,6.6,39.57,158943,"R"
"710",1982,129,6.9,39.57,131791,"R"
"711",2008,128,7.1,39.39,204505,"R"
"712",2014,126,6.1,39.32,161456,"PG-13"
"713",2005,93,3.5,39.18,29049,"PG"
"714",2017,126,6.7,39.18,178338,"PG-13"
"715",1982,99,5.6,39.1,5318,"R"
"716",1962,178,7.8,39.1,50258,"G"
"717",2019,87,6.2,39.01,45186,"R"
"718",1989,112,5.2,38.96,45831,"PG"
"719",1993,86,6.6,38.91,80568,"PG-13"
"720",1994,101,4.6,38.59,21283,"R"
"721",2009,89,6.3,38.58,165425,"PG-13"
"722",2011,89,3.5,38.54,21122,"PG"
"723",1986,107,6.6,38.5,10733,"R"
"724",1988,126,7.5,38.41,68170,"R"
"725",1984,107,8,38.4,761124,"R"
"726",1984,114,6.4,38.38,48840,"PG-13"
"727",2013,128,6.2,38.36,140319,"PG-13"
"728",1984,93,5.5,38.35,8594,"PG"
"729",2002,86,5.8,38.23,32568,"PG-13"
"730",1979,103,7.3,38.2,7106,"PG"
"731",1995,95,5.2,38.19,24172,"PG"
"732",1987,101,6.7,38.12,134977,"R"
"733",2009,99,6.3,38.11,65991,"R"
"734",2002,95,5.5,38.08,58885,"PG-13"
"735",2005,118,5.9,37.92,112837,"PG-13"
"736",2011,107,4.4,37.92,24285,"PG-13"
"737",1988,91,6.3,37.9,38191,"R"
"738",2004,106,6,37.76,79900,"PG"
"739",1995,134,6,37.6,64921,"PG-13"
"740",2011,109,6.7,37.52,354409,"PG-13"
"741",2012,105,5.9,37.52,145424,"R"
"742",2011,83,6.1,37.05,89792,"R"
"743",1998,134,6.1,37.02,95853,"PG-13"
"744",2002,94,5.2,36.99,12924,"PG"
"745",2006,102,6.6,36.88,123550,"PG-13"
"746",2016,107,6.3,36.87,23492,"PG-13"
"747",1995,102,6.4,36.85,23272,"R"
"748",2001,98,6.6,36.85,59112,"R"
"749",2007,122,6.7,36.79,56712,"R"
"750",1972,123,7.4,36.73,26100,"PG"
"751",2011,108,6.4,36.67,90041,"PG-13"
"752",2004,97,4.5,36.61,38722,"PG-13"
"753",2011,110,6,36.39,222581,"PG-13"
"754",2018,105,6.3,36.34,92386,"PG-13"
"755",2008,105,6.4,36.32,191621,"R"
"756",1992,102,6,36.3,79379,"R"
"757",2006,108,6.1,36.28,46556,"PG-13"
"758",2016,116,7.4,36.26,254462,"R"
