"","years","runtime_minute","rate_score","gross_million","votes","certificates"
"484",2001,97,6.7,71.54,213799,"R"
"485",2004,127,7.5,71.5,173039,"R"
"486",2009,105,7,71.44,188721,"R"
"487",1989,97,7.6,71.32,146088,"PG-13"
"488",2001,83,5.3,71.31,143034,"R"
"489",1977,78,6.9,71.22,54541,"G"
"490",1989,97,6.2,71.08,60525,"PG"
"491",2015,94,4.4,71.04,32269,"PG"
"492",2013,105,5.3,71.02,35560,"PG"
"493",1990,110,6,70.98,37945,"PG-13"
"494",1993,101,8,70.91,554516,"PG"
"495",2001,114,5.9,70.84,123107,"PG-13"
"496",2004,109,5.6,70.83,123217,"PG-13"
"497",1980,116,6.2,70.69,16505,"PG"
"498",2011,108,6.2,70.66,203124,"R"
"499",2013,123,6.7,70.53,14376,"R"
"500",2015,130,7.8,70.26,328405,"R"
"501",2008,112,5.7,70.23,70200,"PG-13"
"502",1993,103,7,70.17,41059,"PG-13"
"503",2006,99,4.7,70.17,38901,"PG-13"
"504",1986,103,7.8,70.14,299954,"PG-13"
"505",1992,117,5.5,70.1,24483,"R"
"506",1995,101,6.7,69.87,23047,"PG-13"
"507",1980,109,6.2,69.85,22339,"R"
"508",1982,114,5.9,69.7,9380,"R"
"509",1995,103,5.5,69.7,33983,"PG-13"
"510",2000,104,6.1,69.69,38893,"PG"
"511",1991,84,6.8,69.47,94499,"PG-13"
"512",2018,100,6.9,69.18,181266,"R"
"513",2019,90,6.7,69.06,40050,"R"
"514",2005,105,5.9,68.92,38794,"PG-13"
"515",1993,98,7,68.86,87087,"PG"
"516",2005,124,6,68.67,88605,"PG-13"
"517",2018,104,6.1,68.57,21911,"PG-13"
"518",2018,105,6,68.55,38950,"PG"
"519",2000,93,6.4,68.54,152004,"R"
"520",1999,93,6.3,68.52,71087,"PG-13"
"521",2000,98,6,68.38,83287,"PG-13"
"522",2011,94,6,68.22,83283,"PG"
"523",2012,134,6.2,67.54,121503,"R"
"524",2003,117,7,67.41,72693,"PG"
"525",2018,118,7.3,67.36,65641,"PG-13"
"526",2008,99,6.8,67.29,214578,"R"
"527",2010,110,5.6,67.06,116351,"PG-13"
"528",1995,124,5.9,67.05,9015,"R"
"529",1987,111,6.5,67,27906,"PG-13"
"530",2000,100,4.9,66.96,33004,"G"
"531",2014,81,6.2,66.95,38616,"PG"
"532",2003,89,4.4,66.93,27932,"Approved"
"533",2001,123,6.1,66.81,99521,"R"
"534",1989,100,7,66.76,79817,"PG"
"535",2007,102,7,66.66,104650,"R"
"536",1995,91,6.7,66.6,111925,"G"
"537",1999,97,6.4,66.38,63994,"PG-13"
"538",2013,98,6.9,66.38,212477,"PG-13"
"539",1998,128,6.5,66.31,112803,"PG"
"540",1980,100,5.3,66.13,14041,"PG"
"541",2005,101,4.8,66.02,43305,"G"
"542",2015,115,5.6,66.01,49777,"R"
"543",1995,119,6.9,65.81,222096,"R"
"544",1998,121,7,65.71,66409,"PG-13"
"545",1987,117,6.6,65.67,22192,"R"
"546",2012,114,4.9,65.65,9743,"PG-13"
"547",1999,88,5.7,65.54,68157,"R"
"548",2014,106,5.8,65.18,19016,"PG-13"
"549",2004,106,5.7,65.11,13734,"PG-13"
"550",2016,129,6.5,65.08,228718,"PG-13"
"551",2002,125,7.1,65.02,119217,"R"
"552",2012,112,7.2,65,264051,"PG-13"
"553",1995,114,6.8,65,49406,"PG-13"
"554",2002,77,5.4,64.96,47506,"PG"
"555",2012,106,5.6,64.94,81032,"PG"
"556",1983,91,6.5,64.8,19961,"PG"
"557",2006,85,6.6,64.67,106665,"PG"
"558",2017,100,7.2,64.51,60028,"PG"
"559",2015,101,6.6,64.46,68337,"R"
"560",2002,87,6.6,64.26,78305,"R"
"561",2014,85,5.7,64.25,25317,"PG"
"562",2001,87,5.5,64.19,20994,"PG-13"
"563",2009,102,6.3,64.17,171716,"PG-13"
"564",2016,94,5.7,64.06,51957,"PG"
"565",2011,100,5.9,64.01,39698,"PG"
"566",2010,94,6.2,64,40025,"PG"
"567",1988,113,6.8,64,49163,"R"
"568",2005,100,6.2,63.95,74613,"PG"
"569",2013,105,6.6,63.91,123911,"PG-13"
"570",1997,90,6.4,63.86,37118,"PG-13"
"571",1999,108,6.8,63.84,42994,"R"
"572",1987,118,6.5,63.77,58413,"R"
"573",1946,94,7.1,63.72,10532,"Approved"
"574",1991,99,7,63.71,59524,"PG"
"575",2012,100,6.3,63.54,39390,"PG-13"
"576",1983,99,6.8,63.5,76116,"R"
"577",1988,108,7.5,63.49,125713,"R"
"578",1989,104,6.4,63.41,91615,"R"
"579",1999,95,5.9,63.37,80466,"PG-13"
"580",1993,110,6.8,63.27,46907,"PG-13"
"581",2006,107,5.2,63.26,10281,"PG-13"
"582",2006,136,6.9,63.22,230309,"PG-13"
