"","years","runtime_minute","rate_score","gross_million","votes","certificates"
"286",2004,119,6.7,57.76,208022,"R"
"287",2001,84,4.8,57.74,54995,"PG-13"
"288",1995,129,8,57.14,552175,"R"
"289",2013,89,5.9,57.01,23802,"PG"
"290",1968,149,8.3,56.95,565692,"G"
"291",2002,96,6,56.68,115127,"PG-13"
"292",2015,100,4.3,56.12,144063,"PG-13"
"293",2005,85,7.4,56.11,119687,"G"
"294",1992,102,6.3,55.96,42696,"PG"
"295",2013,91,5.9,55.75,21556,"PG"
"296",1992,114,6.5,55.47,263856,"R"
"297",2011,111,6.1,55.1,221683,"PG-13"
"298",1997,129,7.2,54.81,256802,"R"
"299",2011,93,7.5,54.71,464468,"PG-13"
"300",1998,110,6.2,54.68,88390,"PG-13"
"301",2016,115,5.7,54.65,174180,"PG-13"
"302",1989,171,7.6,54.46,155608,"PG-13"
"303",2007,103,6.2,54.15,59484,"PG"
"304",2003,119,6.3,53.79,99676,"PG-13"
"305",1987,102,7.5,53.42,221145,"R"
"306",2006,130,8.5,53.09,1109,"PG-13"
"307",2004,113,5.9,52.41,160049,"R"
"308",1989,107,5.5,52.21,53420,"PG"
"309",2010,107,6.4,52,204716,"R"
"310",2004,94,6.2,51.2,179302,"R"
"311",2005,109,6.8,51.09,180896,"PG"
"312",2018,107,5.4,51.02,106432,"R"
"313",2017,95,5.6,50.7,117768,"PG-13"
"314",2007,94,6.3,50.65,177069,"R"
"315",2002,98,5.4,50.55,75612,"PG-13"
"316",2014,107,6.7,50.47,110958,"PG-13"
"317",2001,120,7.4,50.34,170170,"PG-13"
"318",2010,101,6.4,50.29,157028,"R"
"319",2009,102,5.3,49.44,62448,"PG-13"
"320",1997,104,5.5,49.32,69284,"PG-13"
"321",1997,109,6.2,47.75,218090,"R"
"322",2015,127,5.3,47.39,171459,"PG-13"
"323",2000,83,5.5,46.73,130791,"PG-13"
"324",1991,108,6.5,46.7,50146,"PG"
"325",2009,92,6.6,45.8,145557,"R"
"326",1990,117,5.8,45.68,77933,"R"
"327",2014,97,6.5,45.09,107869,"PG-13"
"328",2002,113,7.6,45.06,355605,"R"
"329",2000,118,7.3,45.01,96947,"PG-13"
"330",1994,99,5.9,44.85,53127,"R"
"331",2012,93,5.4,44.81,71110,"PG-13"
"332",2008,135,6,43.95,66495,"PG"
"333",2001,87,5.9,43.91,86638,"PG-13"
"334",2007,84,4.7,43.75,18802,"PG"
"335",2002,116,6.4,43.25,70375,"PG-13"
"336",1993,96,4.8,42.66,29506,"PG"
"337",1981,110,7,42.37,55293,"PG"
"338",2012,95,5.4,42.35,128002,"R"
"339",1983,109,6.4,42.31,15916,"R"
"340",2009,91,6,42.09,48589,"PG"
"341",2013,119,6.4,42.03,148519,"R"
"342",2007,94,4.7,41.8,112003,"R"
