"","years","runtime_minute","rate_score","gross_million","votes","certificates"
"910",2009,109,7.4,83.82,307235,"R"
"911",1989,117,7.3,83.76,43789,"PG"
"912",2012,99,5.7,83.67,176172,"PG-13"
"913",2013,106,6.6,83.59,146864,"PG-13"
"914",2011,116,5.7,83.55,169506,"PG-13"
"915",2011,110,6,83.5,156031,"R"
"916",2018,110,7.3,83.48,12651,"PG"
"917",1979,147,8.4,83.47,570399,"R"
"918",1980,88,7.7,83.4,197726,"PG"
"919",1992,103,6.5,83.36,72794,"R"
"920",2014,92,6.7,83.35,74933,"PG"
"921",2013,125,7.5,83.3,145244,"PG-13"
"922",1992,117,6.9,83.29,97340,"R"
"923",2018,96,6.6,83.24,28797,"PG"
"924",2008,121,7.1,83.08,219139,"PG-13"
"925",2005,134,7.7,83.04,308352,"R"
"926",2013,96,6.4,83.03,78251,"PG"
"927",1994,128,6.1,83.02,44043,"R"
"928",1988,132,8.2,83.01,747660,"R"
"929",2006,97,6.3,82.99,34881,"G"
"930",2005,101,5.5,82.93,53926,"PG-13"
"931",2005,95,4.7,82.67,27856,"PG"
"932",1990,107,6,82.67,74576,"PG-13"
"933",2003,97,5.7,82.62,106375,"R"
"934",2011,115,7.3,82.58,226616,"R"
"935",2005,94,5.5,82.57,52012,"PG"
"936",1995,143,7.3,82.57,34206,"PG"
"937",1992,128,7.4,82.52,181237,"R"
"938",1991,130,7.7,82.42,63309,"PG-13"
"939",2014,104,6.4,82.39,123859,"R"
"940",2002,117,6.7,82.35,191933,"R"
"941",2007,96,7.1,82.27,135968,"PG"
"942",1979,132,6.4,82.26,77341,"G"
"943",2006,93,5.7,82.23,78070,"PG"
"944",2007,115,6.2,82.16,157537,"PG-13"
"945",2016,112,6,82.05,80086,"PG-13"
"946",2017,116,7.2,81.9,119114,"PG-13"
"947",2015,131,6.3,81.7,208680,"PG-13"
"948",1978,101,6.9,81.64,17449,"PG"
"949",2006,120,7.3,81.61,58167,"PG"
"950",1970,116,7.5,81.6,64809,"R"
"951",2010,98,6.8,81.56,177416,"PG-13"
"952",1999,100,7.1,81.53,127152,"R"
"953",2015,115,6.3,81.48,173594,"R"
"954",1999,139,7.4,81.3,169032,"R"
"955",2003,109,7.1,81.26,253532,"PG-13"
"956",1984,96,6.7,81.2,107038,"R"
"957",2002,99,5.1,81.17,24277,"PG"
"958",2008,123,6.8,81.16,219776,"PG-13"
"959",1995,103,6.7,81.06,86885,"PG"
"960",1995,109,5.2,81.02,40413,"PG-13"
"961",2004,123,7.8,81,490754,"PG-13"
"962",2001,82,6,80.94,29073,"G"
"963",1990,93,5.9,80.82,36556,"R"
"964",1987,102,7.1,80.64,45767,"PG"
"965",2010,133,5.8,80.57,81805,"PG-13"
"966",2003,98,6.2,80.57,125702,"R"
"967",2019,110,6.4,80.55,49708,"R"
"968",1971,181,8,80.5,36618,"G"
"969",2011,102,5.2,80.36,54333,"PG"
