"","years","runtime_minute","rate_score","gross_million","votes","certificates"
"212",2008,98,5.9,35.16,52968,"PG"
"213",2001,106,6.4,32.13,78787,"PG-13"
"214",1973,83,7.6,32.06,108390,"G"
"215",2018,101,7.9,32.02,121609,"PG-13"
"216",2009,79,7.1,31.74,128435,"PG-13"
"217",2012,88,6.7,31.05,43034,"PG"
"218",2018,100,7.9,30.71,19591,"PG"
"219",2019,86,5.8,30.3,14429,"PG"
"220",2008,81,4.5,30.11,10340,"G"
"221",2018,84,6.8,29.56,14558,"PG"
"222",1996,79,6.7,28.93,57511,"PG"
"223",2017,91,5.4,28.37,5255,"PG"
"224",2006,88,5.8,28.14,35473,"PG"
"225",1990,77,6.9,27.93,35690,"G"
"226",1989,84,6.8,27.1,34008,"G"
"227",2011,63,7.2,26.69,20401,"G"
"228",2003,86,6.7,26.48,46406,"PG"
"229",2000,92,4.1,26,18715,"PG"
"230",2002,82,6.5,25.58,3714,"G"
"231",2010,90,5.2,25.08,12825,"PG"
"232",1972,78,6.3,25,10503,"Unrated"
"233",2016,89,6.8,24.7,17939,"PG"
"234",1992,76,6.5,24.65,25786,"G"
"235",2002,76,5.4,23.44,20827,"PG-13"
"236",1999,86,8,23.16,162807,"PG"
"237",2003,75,6.1,23.1,6420,"G"
"238",1985,77,5.6,22.93,4999,"G"
"239",2000,94,6.6,22.75,57276,"PG"
"240",1998,86,6.3,22.72,13908,"G"
"241",1982,95,8.1,22.24,72585,"R"
"242",1963,79,7.2,22.18,83781,"G"
"243",1991,75,6.5,22.17,22299,"G"
"244",2017,99,6.1,21.89,5541,"PG"
"245",2011,88,5.4,21.38,20239,"PG"
"246",1985,80,6.4,21.29,28793,"PG"
"247",2009,87,7.8,21,183769,"PG"
"248",2003,91,5.7,20.99,31081,"PG"
"249",2019,97,7,20.61,16660,"PG"
"250",2019,87,4.9,20.15,4174,"PG"
"251",2004,90,4.9,19.76,7614,"PG"
"252",2009,94,6.3,19.55,31499,"PG"
"253",2008,87,6,19.53,21763,"PG"
"254",2005,76,5.5,19.45,19867,"G"
"255",1999,77,5,19.42,2819,"G"
"256",2015,85,7.3,19.38,34651,"PG"
"257",2010,94,7.6,19.2,71109,"G"
"258",1971,117,7.1,18.53,32185,"G"
"259",1990,74,6.9,18.12,23897,"G"
"260",2005,68,6.4,18.1,5952,"G"
"261",2000,93,5.8,17.05,12266,"G"
"262",2016,90,3.4,17.02,8257,"PG"
"263",2019,93,6.7,16.65,14459,"PG"
"264",2006,87,4.5,15.59,9746,"PG"
"265",2006,94,6,15.13,31365,"PG"
"266",2008,101,7.7,15.09,111689,"G"
"268",2008,84,4.5,14.53,4068,"G"
"269",2006,87,5.7,14.52,7520,"G"
"270",1962,135,6.4,14.17,1393,"G"
"271",1992,102,4.9,14.11,19730,"PG-13"
"272",2002,76,6,13.68,6095,"PG"
"273",1994,80,6.1,13.67,19933,"G"
"274",2001,95,6.3,13.6,30701,"PG"
"275",1969,86,7.3,13.08,4184,"G"
"276",2008,85,5.7,12.7,2471,"G"
"277",2015,99,5.8,12.43,9601,"PG"
"278",1999,87,4.5,11.96,3554,"G"
"279",1991,77,6.1,11.66,7943,"G"
"280",2002,73,6.5,11.41,8934,"PG"
"281",1994,86,6.3,11.37,14412,"G"
"282",1995,78,7.1,11.27,37826,"G"
"283",1976,89,6,11.23,1127,"G"
"284",1990,82,5.6,10.9,4437,"G"
"285",2011,86,4.7,10.14,11615,"PG"
"286",1982,82,7.6,10.14,34402,"G"
"287",2001,125,8.6,10.06,585934,"PG"
"288",1993,71,6.5,10,4706,"G"
"289",1994,90,6.4,9.77,21471,"G"
"290",2000,82,6.1,9.63,6489,"PG"
"291",2016,90,5.9,9.4,4241,"PG"
"292",1993,72,6.1,9.32,12896,"G"
"294",1977,80,6.5,9,9715,"PG"
"295",1996,82,5.5,8.62,5247,"G"
"296",2016,94,5.6,8.55,9360,"PG"
"297",1986,76,5.5,8.54,2076,"G"
"298",2014,88,5.1,8.46,5427,"PG"
"299",1992,72,5.7,8.44,4550,"PG-13"
"300",2018,89,6.1,8.27,17417,"PG"
