"","years","runtime_minute","rate_score","gross_million","votes","certificates"
"214",2015,122,7.2,17.77,144125,"R"
"215",2018,122,6.6,17.61,25692,"PG-13"
"216",2006,123,7.7,17.61,169169,"R"
"217",2018,108,6.6,17.56,6329,"PG-13"
"218",1992,115,5.9,17.53,8752,"PG"
"219",2017,127,7,17.45,34496,"PG-13"
"220",2017,127,7.1,17.27,26294,"PG-13"
"221",1985,131,6.8,17.1,10035,"R"
"222",2004,126,7.8,16.76,93234,"R"
"223",2018,124,6.3,16.47,32241,"R"
"224",1941,134,7.7,16.4,14449,"Passed"
"225",2007,114,6.8,16.29,64035,"PG-13"
"226",2013,128,5.9,16.12,90881,"PG-13"
"227",2013,85,7.5,16.1,70484,"R"
"228",2002,113,7,16,80617,"R"
"229",2006,123,6.4,15.96,95550,"PG-13"
"230",2016,120,6.4,15.86,19024,"R"
"231",2015,106,7.4,15.79,79479,"PG-13"
"232",1965,260,6.6,15.47,8273,"G"
"233",1990,111,7.2,15.45,13739,"R"
"234",2016,127,7,15.43,63959,"R"
"235",2005,120,7.4,15.33,26558,"PG"
"236",1994,110,7.2,15.24,14638,"PG-13"
"237",2006,122,6.9,15.23,96478,"R"
"238",1989,103,7.9,14.74,63364,"R"
"239",2017,112,6.2,14.68,6939,"PG"
"240",2011,99,7,14.6,80729,"R"
"241",1961,168,7,14.48,6495,"PG-13"
"242",1996,113,6,14.48,7866,"PG-13"
"243",2014,106,7,14.48,80719,"PG-13"
"244",2006,126,6.5,14.42,31928,"R"
"245",1978,114,7.2,14.36,7742,"PG"
"246",1999,148,6.4,14.28,62265,"R"
"247",2009,111,5.8,14.24,11590,"PG"
"248",1962,135,6.4,14.17,1393,"G"
"249",2017,107,6.9,14.11,23845,"R"
"250",2018,98,7.5,14.02,9377,"PG"
"251",1982,122,7.7,14,17185,"PG"
"252",1988,103,7.3,13.99,15187,"PG"
"253",2016,100,6.7,13.96,68857,"R"
"254",2008,110,6.9,13.82,74776,"PG-13"
"255",1989,108,6.2,13.74,14764,"PG-13"
"256",1995,192,7.1,13.56,27603,"R"
"257",2017,116,7.1,13.41,20171,"PG-13"
"258",2006,123,6.2,13.4,6520,"PG"
"259",2004,125,6.6,13.34,10553,"PG-13"
"260",2011,112,8.5,13.18,708225,"R"
"261",1964,128,6.8,13.17,3185,"Approved"
"262",2016,106,5.3,13.1,6499,"PG-13"
"263",1992,125,7.2,13.09,7497,"R"
"264",1962,143,7.2,13.01,5174,"Approved"
"265",2003,219,6.4,12.87,14800,"PG-13"
"266",2016,115,7.2,12.79,106898,"PG-13"
"267",2005,135,6.7,12.71,80142,"PG-13"
"268",2017,121,6.7,12.64,46101,"PG-13"
"269",2014,121,7.4,12.55,33497,"PG-13"
"270",1998,116,6.4,12.41,3491,"R"
"271",2016,161,8.4,12.39,135181,"Not Rated"
"272",2018,96,7.7,12.32,19182,"PG-13"
"273",2015,127,6.9,12.19,33546,"PG-13"
"274",2014,134,7,12.1,128949,"R"
"275",2005,108,6.8,11.97,4770,"PG-13"
"276",1952,119,7,11.81,4697,"Not Rated"
"277",1988,92,6.8,11.81,71674,"R"
"278",1942,126,7.7,11.8,13280,"Passed"
"279",1957,122,7.2,11.75,12933,"Passed"
"280",2003,100,6.9,11.63,69598,"PG-13"
"281",1990,136,6.3,11.57,11823,"NC-17"
"283",1999,118,7.5,11.53,89038,"R"
"284",2008,94,5.3,11.51,3694,"PG"
"285",2018,93,6.7,11.28,34627,"PG-13"
"286",2006,117,7,11.24,40402,"R"
"287",2015,119,7.1,11.11,153380,"R"
"288",1996,133,7.2,11.09,28287,"R"
"289",2005,107,7.1,11.01,50290,"PG-13"
"290",2009,105,7.3,11,55305,"PG"
"292",2018,116,6.1,10.76,15057,"PG-13"
"293",2013,100,7.3,10.73,26714,"PG"
"294",2007,140,7.6,10.3,79322,"PG-13"
"295",2004,118,7,10.21,46375,"R"
"296",2019,133,7,10.21,5605,"PG-13"
"297",2005,127,5.9,10.17,63286,"R"
"298",1989,137,7.5,10.16,27146,"PG-13"
"299",2015,123,7.3,10.14,113471,"PG"
"300",2017,118,7.2,10.05,16283,"PG-13"
"301",2015,104,6.7,10.02,24214,"PG-13"
"302",1994,121,7.5,9.91,22162,"R"
"303",2008,130,7.3,9.59,19082,"PG"
"304",2010,108,6.8,9.53,44775,"PG-13"
"305",1992,143,7.6,9.49,51079,"PG-13"
"306",2017,109,6.5,9.47,10926,"R"
"307",1997,101,7.2,9.22,12832,"PG"
"308",2011,104,6.8,9.2,54877,"PG-13"
"309",2007,108,6.6,9.18,26355,"R"
"310",1968,176,6.5,9.16,1875,"G"
"311",1985,115,7.1,9.09,3964,"PG-13"
"312",2016,124,7.4,8.81,13939,"PG"
"313",2018,106,7.1,8.8,39494,"R"
"315",2000,122,7,8.6,26018,"R"
"316",2016,141,6.6,8.58,71186,"PG-13"
"317",2015,128,7.8,8.41,45601,"R"
"318",2013,141,7.1,8.32,25577,"PG-13"
"319",1992,120,4.4,8.25,2654,"PG-13"
"320",2008,109,7,8.2,18897,"R"
"321",1950,107,6.9,8,4147,"Passed"
"322",2018,155,7.8,7.91,43551,"TV-MA"
"323",2015,124,7.5,7.86,71115,"R"
"325",2003,112,7.9,7.71,8779,"R"
"326",2016,123,7,7.7,29370,"PG-13"
"327",2018,120,7.3,7.65,40430,"R"
"328",2006,106,5.5,7.56,4533,"R"
"329",2009,120,6.7,7.44,27668,"R"
"330",1993,109,7.4,7.27,27894,"PG"
"331",1992,154,6.5,7.19,26874,"PG-13"
"332",2000,124,7.3,7.06,49988,"R"
"333",1988,120,6.9,6.91,8700,"PG-13"
"334",2016,95,5.5,6.9,6587,"PG-13"
"335",2018,115,6.9,6.79,25430,"R"
"336",2010,107,7.2,6.78,40674,"R"
"337",2017,94,7.8,6.74,44250,"PG-13"
"338",1946,132,6.4,6.72,1980,"Passed"
"339",1980,99,6.7,6.66,10794,"R"
"340",2009,112,7,6.62,17268,"R"
"341",2013,130,6.6,6.59,29666,"PG-13"
"342",2000,114,5.6,6.54,4221,"PG-13"
"343",1983,103,6.7,6.47,5439,"R"
"344",2017,119,6.6,6.42,5213,"PG-13"
"345",1998,105,7.4,6.39,28100,"R"
"346",2014,102,6.5,6.37,3657,"PG"
"347",2012,94,5.8,6.37,10955,"R"
"348",2004,118,6.7,6.32,14190,"PG-13"
"349",2016,84,6.4,6.3,7512,"PG-13"
"350",2018,98,5.8,6.22,1844,"PG-13"
