"","years","runtime_minute","rate_score","gross_million","votes","certificates"
"331",2005,116,5.7,50.63,13175,"PG-13"
"332",2007,104,6.5,50.57,93394,"PG-13"
"333",2014,107,6.7,50.47,110958,"PG-13"
"334",2018,112,6,50.32,30057,"PG-13"
"335",2001,90,6.9,50.29,100126,"PG-13"
"336",2014,95,7.3,50.15,61505,"PG"
"337",1994,115,7.3,50.08,47344,"PG"
"338",1993,114,6.2,50.08,18390,"PG-13"
"339",1994,126,6.6,50.02,19455,"R"
"340",1995,102,6.7,50.01,30125,"PG-13"
"341",1986,116,6,49.85,9459,"PG"
"342",1980,114,5.3,49.82,27969,"PG"
"343",2008,165,6.6,49.55,115952,"PG-13"
"344",1996,88,5.9,49.14,12986,"G"
"345",2007,117,6.3,49.12,7948,"PG-13"
"346",2018,110,5.5,48.8,43776,"PG-13"
"347",2019,89,5.9,48.79,54144,"PG-13"
"348",2014,100,6.1,48.64,21681,"R"
"349",1997,121,3.9,48.61,71560,"PG-13"
"350",2006,83,2.8,48.55,55718,"PG-13"
"351",2003,113,6.8,48.46,63427,"PG"
"352",2005,95,6.7,48.32,95282,"PG-13"
"353",2008,97,5.5,48.24,76335,"PG-13"
"354",1992,202,7.7,48.17,78372,"PG-13"
"355",2004,93,4.3,48.12,10829,"PG"
"356",1996,123,5.6,48.1,10515,"PG"
"357",2003,102,5,47.81,31606,"PG"
"358",2007,98,6.7,47.64,95214,"PG-13"
"359",1990,81,4.7,47.49,42857,"PG-13"
"360",2001,118,6.4,47.12,75995,"PG-13"
"361",2010,100,5.4,47.06,84095,"PG-13"
"362",2016,110,6.1,46.84,77152,"R"
"363",1998,104,6.3,46.68,68255,"PG-13"
"364",1988,120,6.7,46.62,23068,"R"
"365",2005,129,5.9,46.46,88769,"PG"
"366",2011,124,7.2,46.41,87433,"PG-13"
"367",1996,120,6.7,46.35,201061,"PG-13"
"368",2014,117,6.5,46.29,110732,"PG-13"
"369",1996,108,6.5,46.15,41525,"PG"
"370",2008,101,5.9,46.01,64705,"PG-13"
"371",2016,98,6,46.01,78100,"R"
"372",2019,116,7.2,45.73,28794,"PG-13"
"373",1979,96,7.9,45.7,125156,"R"
"374",2012,94,7.8,45.51,300836,"PG-13"
"375",1992,106,6,45.5,20270,"PG-13"
"376",2004,109,6.4,45.49,52581,"PG-13"
"377",2014,97,6.5,45.09,107869,"PG-13"
"378",2011,105,5.8,45.06,115953,"R"
"379",2011,100,7.9,44.67,221734,"PG-13"
"380",1998,178,7.2,44.62,202155,"PG-13"
"381",1967,123,6,44.43,6979,"PG-13"
"382",1994,111,6,44.34,15656,"PG"
"383",2009,104,5.9,44.28,72225,"PG"
"384",2008,119,6.2,44.09,26053,"PG-13"
"385",1980,102,6.7,44,8128,"PG"
"386",2005,98,5.9,43.89,29695,"PG-13"
"387",1989,122,6.4,43.86,26716,"PG"
"388",2007,91,5.3,43.8,36860,"PG-13"
"389",1961,153,7.5,43.66,91026,"Not Rated"
"390",2003,113,6.7,43.61,44573,"PG-13"
"391",2018,120,5.8,43.55,7082,"R"
"392",2018,86,5.1,43.24,9035,"PG"
"393",1995,136,7.6,43.18,95783,"PG"
"394",2007,104,6.3,43.11,68072,"PG"
"395",1991,108,6.7,43,28120,"PG-13"
"396",2005,97,5.5,43,50683,"PG-13"
"397",2017,120,7.6,42.87,110786,"R"
"398",1979,112,5.6,42.8,2526,"PG"
"399",1987,90,5.9,42.72,27564,"PG"
"400",2007,102,5.7,42.67,36337,"PG-13"
"401",2003,94,5.5,42.67,34109,"PG"
"402",2015,112,7.2,42.48,144963,"PG-13"
"403",2008,114,5.5,42.44,12874,"PG-13"
"404",2010,107,6.2,42.4,54082,"PG-13"
"405",2005,104,6.2,42.07,40971,"PG-13"
"406",2004,131,6.4,42.04,75512,"PG-13"
"407",1956,175,6.8,42,23027,"G"
"408",2008,100,4.3,41.94,6344,"PG-13"
"409",2008,97,6,41.85,21939,"PG-13"
"410",2002,110,7.5,41.68,119520,"PG-13"
"411",1979,105,6.4,41.64,2189,"R"
"412",2001,123,6.5,41.58,63392,"PG-13"
"413",2002,101,7,41.39,165743,"PG-13"
"414",1986,103,6.3,41.38,31085,"PG-13"
"415",1988,115,6.1,41.29,27448,"R"
"416",1996,126,6.6,41.25,14406,"PG-13"
"417",2002,101,7.4,41.23,192259,"PG"
