"","years","runtime_minute","rate_score","gross_million","votes","certificates"
"278",2014,114,8,91.13,642931,"PG-13"
"279",2001,112,6.2,91.06,55072,"PG-13"
"280",1984,126,7.2,90.82,163610,"PG"
"281",2008,112,4.7,90.56,54791,"G"
"282",2009,103,4.4,90.49,11065,"PG-13"
"283",2003,138,7.9,90.14,399173,"R"
"284",2005,98,6.3,89.71,146897,"PG-13"
"285",1974,170,4.7,89,1207,"PG"
"286",2006,129,7.6,88.51,321818,"R"
"287",1992,110,6.6,88.04,35954,"R"
"288",2016,127,6.7,87.24,147094,"PG-13"
"289",1985,161,7.2,87.1,67439,"PG"
"290",2016,128,7.3,86.26,243874,"R"
"291",2014,118,5.3,85.91,32378,"PG"
"292",2014,134,7.6,85.82,398890,"R"
"293",2011,127,7.1,85.47,288130,"PG-13"
"294",2018,130,8.2,85.08,286108,"PG-13"
"295",1995,99,6.5,84.92,46052,"R"
"296",1972,117,7.1,84.56,38888,"PG"
"297",2011,118,7.4,84.35,448911,"PG-13"
"298",1998,121,7,83.9,97682,"PG-13"
"299",2009,109,7.4,83.82,307235,"R"
"300",1989,117,7.3,83.76,43789,"PG"
"301",2011,110,6,83.5,156031,"R"
"302",2018,110,7.3,83.48,12651,"PG"
"303",1979,147,8.4,83.47,570399,"R"
"304",2013,125,7.5,83.3,145244,"PG-13"
"305",2008,121,7.1,83.08,219139,"PG-13"
"306",2005,134,7.7,83.04,308352,"R"
"307",1994,128,6.1,83.02,44043,"R"
"308",1990,107,6,82.67,74576,"PG-13"
"309",2011,115,7.3,82.58,226616,"R"
"310",1995,143,7.3,82.57,34206,"PG"
"311",1991,130,7.7,82.42,63309,"PG-13"
"312",2007,96,7.1,82.27,135968,"PG"
"313",2017,116,7.2,81.9,119114,"PG-13"
"314",2006,120,7.3,81.61,58167,"PG"
"315",1970,116,7.5,81.6,64809,"R"
"316",1999,100,7.1,81.53,127152,"R"
"317",1999,139,7.4,81.3,169032,"R"
"318",2008,123,6.8,81.16,219776,"PG-13"
"319",1995,103,6.7,81.06,86885,"PG"
"320",2004,123,7.8,81,490754,"PG-13"
"321",1990,93,5.9,80.82,36556,"R"
"322",1987,102,7.1,80.64,45767,"PG"
"323",2010,133,5.8,80.57,81805,"PG-13"
"324",2019,110,6.4,80.55,49708,"R"
"325",1971,181,8,80.5,36618,"G"
"326",2007,105,6.8,80.21,211465,"PG-13"
"327",1984,107,6.6,80.04,65741,"PG"
"328",2010,108,6.3,80.01,132432,"PG-13"
"329",1976,139,6.1,80,9222,"R"
"330",2009,121,6.2,79.96,213016,"PG-13"
"331",2011,146,7.2,79.88,140421,"PG-13"
"332",1974,122,5.9,79.7,12987,"PG"
"333",2009,102,4.4,79.57,37928,"G"
"334",2008,104,5.5,79.37,158698,"PG-13"
"335",1982,96,6.9,78.87,65221,"R"
"336",1998,114,6.7,78.69,109455,"PG-13"
"337",1996,162,7.4,78.65,170426,"R"
"338",2001,146,7.2,78.62,280603,"PG-13"
"339",1988,104,5.9,78.22,76111,"R"
"340",2002,138,7.1,78.12,124615,"R"
"341",2014,118,6.1,78.03,120107,"PG-13"
"342",2004,146,7.7,77.91,315639,"R"
"343",2004,128,7.3,77.87,379807,"PG-13"
"344",1991,137,6.7,77.87,68118,"R"
"345",2002,167,7.5,77.81,384704,"R"
"346",1993,112,5.9,77.7,65094,"PG"
"347",1993,125,7.7,77.32,212602,"PG-13"
"348",2009,101,6.7,77.23,97924,"PG"
"349",2001,122,7.7,76.63,367778,"R"
"350",1987,119,7.9,76.27,264276,"R"
"351",1992,115,6.8,76.25,71222,"R"
"352",2016,102,6.7,76.23,51174,"PG"
"353",1985,117,6.7,76.11,54151,"PG-13"
"354",2000,125,6.8,75.79,99528,"PG-13"
"355",2002,102,6.3,75.78,28393,"PG-13"
"356",2015,121,7.1,75.76,200520,"PG-13"
"357",2011,106,6.6,75.66,208179,"PG-13"
"358",2011,124,7.1,75.62,129725,"PG"
"359",2011,133,7.6,75.61,339273,"PG-13"
"360",2002,127,6.9,75.6,30769,"G"
"361",1995,178,8.3,75.6,917800,"R"
"362",1999,162,6.9,75.53,108418,"R"
"363",1992,112,7.7,75.51,140773,"R"
"364",2016,112,6.5,75.4,158650,"R"
"365",1998,169,6.6,75.38,37501,"PG-13"
"366",2004,152,7.7,75.33,131539,"PG-13"
