"","years","runtime_minute","rate_score","gross_million","votes","certificates"
"236",1995,114,5.9,50.73,57910,"PG-13"
"237",1985,98,6.9,50.61,45281,"PG"
"238",1994,118,7.3,50.28,206239,"R"
"239",1997,93,6.9,50.13,46145,"R"
"240",2018,122,7.1,50.07,109106,"R"
"241",1997,121,6.7,50.01,47845,"R"
"242",1975,125,8,50,224199,"R"
"243",2013,129,6.4,49.88,192663,"R"
"244",1986,116,6,49.85,9459,"PG"
"245",2003,127,7.1,49.44,87428,"PG-13"
"246",1991,136,6.8,49.11,24595,"R"
"247",1996,147,7.6,49.1,179534,"R"
"248",1986,87,5.8,49.04,63830,"R"
"249",2007,119,7.2,49.03,151196,"R"
"250",2006,105,5.8,48.75,54570,"PG-13"
"251",2018,135,7.5,48.69,177632,"R"
"252",1997,121,3.9,48.61,71560,"PG-13"
"253",2005,115,5.1,48.48,66363,"PG-13"
"254",1984,114,6.3,48.14,14820,"R"
"255",2010,117,7.6,48.07,509007,"R"
"256",2003,102,5,47.81,31606,"PG"
"257",1991,97,6.7,47.62,29713,"R"
"258",1990,96,5.8,47.41,26173,"R"
"259",2012,131,6.5,47.38,117804,"R"
"260",2014,141,7.4,47.12,167952,"R"
"261",1989,103,6.9,46.91,45682,"R"
"262",2015,121,7.6,46.89,344768,"R"
"263",1990,146,8.7,46.84,950922,"R"
"264",1994,111,6.4,46.82,39416,"PG-13"
"265",1992,112,5.9,46.67,14609,"R"
"266",1988,120,6.7,46.62,23068,"R"
"267",2002,81,7,46.57,242019,"R"
"268",2018,88,5.4,46.38,11661,"PG-13"
"269",1963,205,7.5,46.3,35827,"G"
"270",1989,125,6.7,46.21,47002,"R"
"271",1976,96,6.8,46.2,39191,"R"
"272",1993,107,6.4,46.04,21513,"R"
"273",1990,93,6,46.04,18621,"R"
"274",2013,113,6.7,46,199898,"R"
"275",2004,86,6.3,45.86,67827,"PG-13"
"276",1997,135,7.2,45.86,58913,"PG-13"
"277",1990,117,5.8,45.68,77933,"R"
"278",1983,170,8.3,45.6,692597,"R"
"279",2000,107,7.7,45.51,271737,"PG-13"
"280",1991,130,7.5,45.36,126977,"R"
"281",2001,89,5.6,45.25,23704,"PG-13"
"282",2015,129,8.1,45.06,385736,"R"
"283",2000,118,7.3,45.01,96947,"PG-13"
"284",2017,96,6.6,45,70531,"PG-13"
"285",2018,140,7,44.95,78472,"R"
"286",1997,105,6.9,44.89,82044,"R"
"287",2010,107,5.6,44.88,83038,"R"
"288",1994,99,5.9,44.85,53127,"R"
"289",2012,93,5.4,44.81,71110,"PG-13"
"290",1998,140,7.3,44.48,125119,"R"
"291",1997,98,6.7,44.46,42280,"R"
"292",1992,84,5.9,44.07,43123,"R"
"293",1987,126,7.4,43.85,137570,"R"
"294",1961,153,7.5,43.66,91026,"Not Rated"
"295",2014,132,6.5,43.58,158034,"PG-13"
"296",2010,117,6.6,43.31,86636,"R"
"297",1989,101,6,43.25,30187,"PG-13"
"298",1991,122,7.3,43.22,146198,"R"
"299",2014,101,7.4,43.04,494443,"R"
"300",2016,114,7.1,43.02,163418,"R"
"301",1979,112,7.6,43,108957,"PG"
"302",1997,111,6.2,42.87,55631,"R"
"303",1994,104,5.6,42.61,72723,"R"
"304",1995,178,8.2,42.44,433606,"R"
"305",2018,129,6.9,42.4,76130,"R"
"306",1983,109,6.4,42.31,15916,"R"
"307",1968,114,7.4,42.3,57078,"M/PG"
"308",1988,110,7.4,42.04,61228,"PG"
"309",1997,127,7.7,41.91,262092,"R"
"310",1975,113,7.1,41.83,23570,"G"
"311",1980,99,6.1,41.68,11270,"R"
"312",1998,122,7.3,41.62,165289,"R"
"313",2001,123,6.5,41.58,63392,"PG-13"
"314",2002,115,6.4,41.54,36971,"PG-13"
"315",1988,115,6.1,41.29,27448,"R"
"316",1997,97,6.2,41.07,26651,"R"
"317",2016,98,6.5,41.01,89679,"R"
"318",2012,109,7.6,41,218004,"R"
"319",2003,105,6.5,40.91,54381,"PG-13"
"320",1993,113,7.6,40.9,160788,"R"
"321",2008,100,5.4,40.69,119307,"PG-13"
"322",2009,125,6.1,40.57,45893,"PG-13"
"323",2001,123,6.2,40.34,49709,"PG-13"
"324",1992,89,5.5,40.23,6638,"R"
"325",2004,104,3.3,40.2,105809,"PG-13"
"326",2008,101,6,40.08,82166,"R"
"327",2002,115,5.8,40.01,37479,"PG-13"
"328",1974,105,6.5,40,7894,"PG"
"329",2004,104,6.2,39.8,95756,"R"
"330",2007,100,6.3,39.69,156396,"R"
"331",1997,154,7.5,39.67,298322,"R"
