"","titles","years"
"692","Def by Temptation",1990
"693","The Host",2006
"694","Scream Blacula Scream",1973
"695","Blacula",1972
"696","Train to Busan",2016
"697","Let the Right One In",2008
"698","Videodrome",1983
"699","Ravenous",1999
"700","Gate 2: The Trespassers",1990
"701","Pieces",1982
"702","Re-Animator",1985
"703","Sur le seuil",2003
"704","Bubba Ho-Tep",2002
"705","I Was a Teenage Werewolf",1957
"706","Assassination Nation",2018
"707","Spellbinder",1988
"708","The Curse",1987
"709","Communion",1989
"710","Shin Godzilla",2016
"711","A Sound of Thunder",2005
"712","Only Lovers Left Alive",2013
"713","The Kiss",1988
"714","Lady in a Cage",1964
"715","Tusk",2014
"716","The Mangler",1995
"717","Carnosaur",1993
"718","The Horror Show",1989
"719","Take Shelter",2011
"720","Link",1986
"721","The Vatican Tapes",2015
"722","Lady in White",1988
"723","The Rain Killer",1990
"724","Brain Dead",1990
"725","The Haunting of Morella",1990
"726","Stepfather II",1989
"727","Nochnoy dozor",2004
"728","Phantom of the Rue Morgue",1954
"729","Death Machine",1994
"730","The Little Shop of Horrors",1960
"731","Repossessed",1990
"732","Strange Invaders",1983
"733","From a Whisper to a Scream",1987
"734","The Neon Demon",2016
"735","Personal Shopper",2016
"736","Creature from the Black Lagoon",1954
"737","Funny Games",2007
"738","The House on Sorority Row",1982
"739","From Beyond",1986
"740","The Abandoned",2006
"741","The Legend of Blood Mountain",1965
"742","Xun long jue",2015
"743","Slumber Party Massacre III",1990
"744","High Life",2018
"745","Mandy",2018
"746","Nightwatch",1997
"747","Return to Horror High",1987
"748","The Lair of the White Worm",1988
"749","Dylan Dog: Dead of Night",2010
"750","Repentance",2013
"751","Night School",1981
"752","The Remaining",2014
"753","Goodnight Mommy",2014
"754","The Lords of Salem",2012
"755","The Unborn",1991
"756","Nightflyers",1987
"757","Eyes of a Stranger",1981
"758","Possession",1981
"759","Red State",2011
"760","Tarantula",1955
"761","The Return of the Vampire",1943
"762","The Outing",1987
"763","Scream",1981
"764","Of Unknown Origin",1983
"765","Bhool Bhulaiyaa",2007
"766","Driftwood",2006
"767","Bad Moon",1996
"768","The Sender",1982
"769","Skinwalkers",2006
"770","Golmaal Again",2017
"771","Thr3e",2006
"772","The Killer Shrews",1959
"773","Beyond Skyline",2017
"774","Mosquito",1994
"775","Diary of the Dead",2007
"776","Watchers",1988
"777","The Babadook",2014
"778","Gothic",1986
"779","Venom",2005
"780","Parents",1989
"781","Más negro que la noche",2014
"782","The Terror Within",1989
"783","Sarah Landon and the Paranormal Hour",2007
"784","Waxwork",1988
"785","Climax",2018
"786","Dracula: Prince of Darkness",1966
"787","The Toxic Avenger Part II",1989
"788","31",2016
"789","Perfect Blue",1997
"790","The Church",2018
"791","The Devil's Backbone",2001
"792","Vampire's Kiss",1988
"793","The Little Stranger",2018
"794","Hobo with a Shotgun",2011
"795","Killer Party",1986
"796","Maniac Cop",1988
"797","Lizzie",2018
"798","The Crimson Rivers",2000
"799","Strangeland",1998
"800","Range 15",2016
"801","Cronos",1993
"802","Henry: Portrait of a Serial Killer",1986
"803","Poison",1991
"804","Below",2002
"805","The Signal",2007
"806","Night of the Creeps",1986
"807","House",2008
"808","Anna and the Apocalypse",2017
"809","London After Midnight",1927
"810","The Black Cat",1934
"811","Unsullied",2014
"812","Raw",2016
"813","Gin gwai",2002
"814","Flying Saucer Rock 'N' Roll",2006
"815","A Polish Vampire in Burbank",1983
"816","Rodan",1956
"817","Jack's Back",1988
"818","Meet the Applegates",1990
"819","Attack of the 50 Foot Woman",1958
"820","Joshua",2007
"821","Apprentice to Murder",1988
"822","Dnevnoy dozor",2006
"823","Shingeki no kyojin",2015
"824","Nadja",1994
"825","The Dunwich Horror",1970
"826","Body Snatchers",1993
"827","The Lighthouse",2019
"828","Time Walker",1982
"829","The Bird with the Crystal Plumage",1970
"830","Out of the Dark",1988
"831","One Exciting Night",1922
"832","The Unknown",1927
"833","Antichrist",2009
"834","Boardinghouse",1982
"835","Honey Britches",1971
"836","Session 9",2001
"837","Scream and Scream Again",1970
"838","Piranha 3DD",2012
"839","Inferno in diretta",1985
"840","Karmina",1996
"841","Highwaymen",2004
"842","The Toxic Avenger Part III: The Last Temptation of Toxie",1989
"843","Prison",1987
"844","Aftermath",2014
"845","Two Evil Eyes",1990
"846","Teeth",2007
"847","Kaal",2005
"848","Roger Corman's Frankenstein Unbound",1990
"849","Hood of Horror",2006
"850","Creature",2011
"851","Ju-on: The Grudge",2002
"852","The Cat and the Canary",1927
"853","The Guest",2014
"854","TerrorVision",1986
"855","Compliance",2012
"856","Shingeki no kyojin: Endo obu za wârudo",2015
"857","K-12",2019
"858","The Addiction",1995
"859","Fido",2006
"860","Thirst",2009
"861","Go Goa Gone",2013
"862","Rumpelstiltskin",1995
"863","Innocence",2013
"864","The Giant Spider Invasion",1975
"865","But Deliver Us from Evil",2017
"866","Octaman",1971
"867","White God",2014
"868","Sukob",2006
"869","The Endless",2017
"870","Passengers",2008
"871","Munger Road",2011
"872","Psycho Beach Party",2000
"873","Rare Exports",2010
"874","Dante's Inferno",1924
"875","Blood: The Last Vampire",2009
"876","Alleluia! The Devil's Carnival",2016
"877","Cemetery Man",1994
"878","Lords of Chaos",2018
"879","Trollhunter",2010
"880","Dominion: Prequel to the Exorcist",2005
"881","Planet of the Vampires",1965
"882","Braindead",1992
"883","Soultaker",1990
"884","The Invitation",2015
"885","The Love Witch",2016
"886","Anguish",1987
"887","White of the Eye",1987
"888","The Black Waters of Echo's Pond",2009
"889","Tucker and Dale vs Evil",2010
"890","Dead & Buried",1981
"891","Night of the Living Dead 3D",2006
"892","Count Yorga, Vampire",1970
"893","Revelation",1999
"894","Frankenhooker",1990
"895","Filth to Ashes, Flesh to Dust",2011
"896","The New Kids",1985
"897","The Return of Swamp Thing",1989
"898","Hell High",1989
"899","Hellbent",2004
"900","La furia del Hombre Lobo",1972
"901","Maggie",2015
"902","Texas Chainsaw Massacre: The Next Generation",1995
"903","The Human Centipede (First Sequence)",2009
"904","In the Shadow of Kilimanjaro",1986
"905","The Bad Batch",2016
"906","The Afflicted",2011
"907","My Best Friend Is a Vampire",1987
"908","My Name Is Bruce",2007
"909","Moh ging",2014
"910","Escape from Tomorrow",2013
"911","Hangman's Curse",2003
"912","Witchboard 2",1993
"913","Tamara",2005
"914","Rampant",2018
"915","Holla",2006
"916","Horns",2013
"917","Outlander",2008
"918","Deadtime",2012
"919","Hatchet",2006
"920","Silent Night, Deadly Night Part 2",1987
"921","I, Madman",1989
"922","Vampire Hunter D: Bloodlust",2000
"923","The Void",2016
"924","May",2002
"925","Razorback",1984
"926","The Crazies",1973
"927","Jinn",2014
"928","Thelma",2017
"929","The Doctor and the Devils",1985
"930","Deadly Renovations",2010
"931","Dahmer",2002
"932","Man-Thing",2005
"933","The Lost Skeleton of Cadavra",2001
"934","Chain Letter",2009
"935","X",1996
"936","John Dies at the End",2012
"937","Repo! The Genetic Opera",2008
"938","Baghead",2008
"939","Severance",2006
"940","Cameron's Closet",1988
"941","Ghost Stories",2017
"942","No Place to Hide",1992
"943","The 16th Episode",2018
"944","The Eclipse",2009
"945","Tigers Are Not Afraid",2017
"946","DOTGA: Da One That Ghost Away",2018
"947","I Saw the Devil",2010
"948","The Night Flier",1997
"949","The Beyond",1981
"950","The Human Centipede II (Full Sequence)",2011
"951","13 Tzameti",2005
"952","Afflicted",2013
"953","The Road",2011
"954","The 12 Day Smile",2011
"955","Monster from the Ocean Floor",1954
"956","Otesánek",2000
"957","Slaughter Creek",2011
"958","Gonjiam: Haunted Asylum",2018
"959","Heart of Midnight",1988
"960","Stomp! Shout! Scream!",2005
"961","Monster Family",2017
"962","Pathology",2008
"963","Not of This Earth",1988
"964","Rise: Blood Hunter",2007
"965","Belladonna of Sadness",1973
"966","Alien Trespass",2009
"967","Demon",2015
"968","The Divine Fury",2019
"969","Edge of Sanity",1989
